id_evento,fecha,modulo,alerta,incidente_real,veredicto,tam_commit,t_respuesta_h
1153,,db,0,no,clean,148,"3,9"
781,2026/05/03 01:23,auth,NO,0,negativo,96,1.7
2228,2026/10/10 15:44, Api,No,0,-,16,"8,2"
2197,2026/08/12 03:45,db,false,0,negativo,-267,2.9
1558,24/09/2026,db,0,0,-,75,"1,9"
1858,2026/02/07 04:01,Auth,No,no,-,40,17.1
665,2026-11-12,database,SI,no,-,48,"9,9"
959,22/09/2026,db,No,no,+,9,"2,0"
1417,28/06/2026,UI,,0,limpio,123,"2,4"
1509,2026/02/25 01:29,db,false,no,clean,160,"9,2"
2466,2026/12/03 08:41,ui,false,0,limpio,38,1.9
671,2026/04/23 21:18,ui,no,0,limpio,63,"3,9"
1262,2026/09/26 21:31,AUTH,0,no,-,10,"3,4"
1650,,auth,true,sí,positivo,91,"13,5"
2067,2026/05/15 00:57,db,no,no,clean,56,"10,9"
229,23/08/2026,UI,0,no,limpio,76,3.0
2468,2026/08/05 13:14,auth,false,0,-,97,3.0
27,2026/11/09 05:38,auth,0,0,negativo,35,3.2
1868,2026-05-12,authentication,false,0,-,347,"4,2"
1133,2026/02/28 13:42,ui,no,no,limpio,12,1.3
640,10/02/2026,API,no,no,Malware,27,8.5
1248,2026-03-19, Api,No,0,limpio,28,2.7
1607,2026/03/08 08:51,api,false,0,negativo,10,3.0
512,2026-02-16,db,no,0,clean,117,"8,2"
1277,2026-10-07,ui,NO,0,limpio,67,2.3
1785,2026/12/01 16:22,auth,no,,limpio,36,"4,6"
574,2026/03/14 17:21,Api,0,0,clean,73,3.6
2307,22/02/2026,Api,false,no,-,150,10.1
2063,2026/02/07 22:08,API,NO,no,-,66,5.2
1872,2026/07/16 03:09,API,false,0,clean,20,99999
94,05/03/2026,DB,false,no,limpio,62,"9,1"
1522,06/05/2026,AUTH,false,0,clean,15,1.2
1158,2026-10-11,API,No,0,-,17,"10,0"
613,15/06/2026,db,0,0,limpio,999999,"1,3"
2428,2026-11-02,db,no,0,-,136,4.7
1885,2026/06/03 11:15,Api,no,no,negativo,66,"15,8"
835,2026-11-11,API,NO,0,-,112,"3,7"
2595,2026-10-16,api,No,0,clean,118,"0,8"
2225,2026/09/03 01:25,auth,NO,0,clean,51,8.2
2364,2026-10-25,db,NO,0,,25,"11,2"
1387,2026/05/02 18:14,db,no,0,-,25,"4,7"
836,2026-12-08,AUTH,NO,0,clean,70,"14,8"
231,2026/10/17 00:40,auth,No,0,clean,47,5.3
810,2026/09/05 08:10,API,0,no,clean,40,2.0
65,2026-08-17,ui,NO,no,negativo,,4.1
369,2026-12-06,Auth,false,no,negativo,8,"7,2"
1539,14/09/2026,authentication,no,unknown,limpio,,4.0
1895,2026-07-13,db,no,0,+,23,"9,2"
1021,21/10/2026, api,sí,no,-,56,13.3
2452,09/01/2026,UI,NO,0,clean,185,5.7
1546,2026/10/20 20:49,db,false,0,-,34,"6,4"
2153,2026-10-03,authentication,no,unknown,+,155,4.7
88,16/11/2026,Auth ,No,no,-,59,2.7
1415,2026-03-22,database,Si,si,+,41,33.4
1597,2026/07/11 20:21,auth,no,0,-,113,"2,6"
1672,2026-11-10,api,false,0,positivo,76,"6,1"
274,21/03/2026,api,false,0,limpio,81,
575,2026/04/15 12:30,db,NO,no,limpio,44,2.1
664,23/09/2026, authentication,no,no,limpio,102,"0,5"
1904,2026-08-18,AUTH,no,0,limpio,56,12.3
1646,2026/06/24 12:25,api ,,no,negativo,147,"1,4"
1528,2026/11/03 05:22,Api,0,0,clean,119,"7,5"
236,22/12/2026,auth,no,no,-,,3.2
1854,2026/02/27 23:13,Api,NO,0,limpio,62,"6,3"
633,,API,NO,no,limpio,163,"2,9"
246,2026-03-18,api,No,0,limpio,157,"6,9"
203,2026-12-02,authentication,,si,Malware,115,"30,9"
2020,28/08/2026,Auth,no,no,negativo,44,"3,8"
683,,UI,false,0,clean,36,6.1
1328,19/05/2026,auth,false,no,negativo,219,-6.5
1092,2026/05/19 13:09,auth,0,0,-,200,4.2
1270,07/02/2026,api,yes,0,-,34,1.5
618,2026-10-09,authentication,false,0,clean,83,5.1
492,2026-07-04,UI,yes,0,-,320,"4,8"
1358,2026/05/20 03:20,Auth,NO,no,limpio,124,"13,4"
2208,2026/02/13 17:16,UI,No,0,-,71,"4,3"
2339,,API,si,1,Malware,,"7,6"
1787,2026-02-01,DB,No,no,negativo,27,10.9
1100,2026-02-03,DB,no,,negativo,7,7.7
585,03/04/2026,Api,false,0,negativo,24,"4,2"
2558,07/06/2026,database,No,0,limpio,46,1.5
1463,08/09/2026,auth,NO,0,clean,126,"6,4"
1313,2026/07/12 23:12,auth,No,0,-,23,4.6
677,2026-10-28,AUTH,false,0,negativo,79,"1,6"
102,2026-07-20,UI,no,no,clean,58,3.4
410,2026/06/26 15:26,db,false,no,clean,18,"1,8"
2525,,database,si,no,-,16,-5.9
413,14/11/2026, AUTH ,NO,0,clean,28,"0,7"
1480,2026-08-08,ui,No,0,negativo,62,"2,6"
218,2026-09-17,api,no,0,negativo,71,12.8
1883,2026/05/17 07:56,api,No,no,negativo,28,4.6
