id_evento,fecha,modulo,alerta,incidente_real,veredicto,tam_commit,t_respuesta_h,id_duplicado,tam_commit_atipico,t_respuesta_h_atipico
1153,NA,db,FALSE,FALSE,negativo,148,3.9,FALSE,FALSE,FALSE
781,2026-05-03,auth,FALSE,FALSE,negativo,96,1.7,FALSE,FALSE,FALSE
2228,2026-10-10,api,FALSE,FALSE,negativo,16,8.2,FALSE,FALSE,FALSE
2197,2026-08-12,db,FALSE,FALSE,negativo,NA,2.9,FALSE,TRUE,FALSE
1558,2026-09-24,db,FALSE,FALSE,negativo,75,1.9,TRUE,FALSE,FALSE
1858,2026-02-07,auth,FALSE,FALSE,negativo,40,17.1,FALSE,FALSE,FALSE
665,2026-11-12,db,TRUE,FALSE,negativo,48,9.9,FALSE,FALSE,FALSE
959,2026-09-22,db,FALSE,FALSE,positivo,9,2,FALSE,FALSE,FALSE
1417,2026-06-28,ui,NA,FALSE,negativo,123,2.4,FALSE,FALSE,FALSE
1509,2026-02-25,db,FALSE,FALSE,negativo,160,9.2,FALSE,FALSE,FALSE
2466,2026-12-03,ui,FALSE,FALSE,negativo,38,1.9,FALSE,FALSE,FALSE
671,2026-04-23,ui,FALSE,FALSE,negativo,63,3.9,TRUE,FALSE,FALSE
1262,2026-09-26,auth,FALSE,FALSE,negativo,10,3.4,FALSE,FALSE,FALSE
1650,NA,auth,TRUE,TRUE,positivo,91,13.5,FALSE,FALSE,FALSE
2067,2026-05-15,db,FALSE,FALSE,negativo,56,10.9,FALSE,FALSE,FALSE
229,2026-08-23,ui,FALSE,FALSE,negativo,76,3,FALSE,FALSE,FALSE
2468,2026-08-05,auth,FALSE,FALSE,negativo,97,3,FALSE,FALSE,FALSE
27,2026-11-09,auth,FALSE,FALSE,negativo,35,3.2,FALSE,FALSE,FALSE
1868,2026-05-12,auth,FALSE,FALSE,negativo,347,4.2,FALSE,FALSE,FALSE
1133,2026-02-28,ui,FALSE,FALSE,negativo,12,1.3,FALSE,FALSE,FALSE
